update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2900,0.6920,7.22,0.0000,0.7220,0.0000,-0.041881,0.001747,2.5565,0.012569,1,62.9
20,40960,5710,0.6975,7.28,0.0000,0.7280,0.0000,-0.045266,0.001801,2.3960,0.015120,1,128.0
30,61440,8495,0.7160,7.48,0.0000,0.7480,0.0000,-0.047310,0.001906,2.3589,0.016196,1,189.3
40,81920,11256,0.7095,7.41,0.0000,0.7410,0.0000,-0.049734,0.001696,2.2670,0.018773,2,250.4
50,102400,13994,0.7350,7.47,0.0100,0.7470,0.0000,-0.036125,0.009063,2.2055,0.016588,5,311.8
60,122880,16719,0.7261,7.59,0.0000,0.7590,0.0000,-0.043982,0.001573,2.0090,0.022084,5,373.4
70,143360,19412,0.7316,7.65,0.0000,0.7650,0.0000,-0.048132,0.001497,1.9397,0.023857,6,436.4
80,163840,22090,0.7380,7.72,0.0000,0.7720,0.0000,-0.048437,0.001401,1.8641,0.022849,6,498.4
90,184320,24760,0.7352,7.69,0.0000,0.7690,0.0000,-0.047067,0.001571,1.9627,0.021244,8,559.0
100,204800,27437,0.7334,7.67,0.0000,0.7670,0.0000,-0.047040,0.001676,1.8867,0.025031,10,619.9
110,225280,30097,0.7381,7.72,0.0000,0.7720,0.0000,-0.040587,0.008162,1.8956,0.024125,14,681.7
120,245760,32749,0.7389,7.73,0.0000,0.7730,0.0000,-0.053194,0.001741,1.8826,0.021829,15,745.9
130,266240,35398,0.7307,7.64,0.0000,0.7640,0.0000,-0.048900,0.001900,1.8803,0.024606,19,809.3
140,286720,38056,0.7607,7.75,0.0100,0.7750,0.0000,-0.039941,0.008089,1.9071,0.022176,25,872.4
150,307200,40716,0.7352,7.69,0.0000,0.7690,0.0000,-0.051951,0.002014,1.9501,0.021587,27,935.9
160,327680,43362,0.7243,7.57,0.0000,0.7570,0.0000,-0.053946,0.001608,1.8989,0.025705,29,999.7
170,348160,45986,0.7454,7.80,0.0000,0.7800,0.0000,-0.046242,0.001855,1.7396,0.024736,31,1064.9
180,368640,48609,0.7592,7.95,0.0000,0.7950,0.0000,-0.053575,0.001365,1.6320,0.028360,31,1128.8
190,389120,51213,0.7773,7.93,0.0100,0.7930,0.0000,-0.039820,0.007647,1.7383,0.020534,38,1194.2
200,409600,53820,0.7509,7.86,0.0000,0.7860,0.0000,-0.039400,0.008038,1.5836,0.021164,41,1259.3
210,430080,56412,0.7491,7.84,0.0000,0.7840,0.0000,-0.052652,0.001468,1.5935,0.027301,42,1319.8
220,450560,59017,0.7500,7.85,0.0000,0.7850,0.0000,-0.053959,0.001808,1.8174,0.023240,48,1379.6
230,471040,61629,0.7444,7.79,0.0000,0.7790,0.0000,-0.044150,0.008087,1.7797,0.023070,50,1440.3
240,491520,64232,0.7610,7.97,0.0000,0.7970,0.0000,-0.049588,0.002011,1.7376,0.023379,52,1502.6
250,512000,66870,0.7451,7.58,0.0200,0.7580,0.0000,-0.043595,0.005506,1.7913,0.020530,58,1567.6
260,532480,69481,0.7454,7.80,0.0000,0.7800,0.0000,-0.050207,0.001696,1.6536,0.023204,59,1632.6
270,552960,72052,0.7846,8.01,0.0100,0.8010,0.0000,-0.043268,0.007956,1.6266,0.022203,64,1695.2
280,573440,74613,0.7720,8.09,0.0000,0.8090,0.0000,-0.047072,0.001599,1.3641,0.019951,64,1755.9
290,593920,77171,0.7546,7.90,0.0000,0.7900,0.0000,-0.052490,0.001593,1.5417,0.024801,69,1817.0
300,614400,79743,0.7490,7.84,0.0000,0.7840,0.0000,-0.055724,0.001545,1.6592,0.024756,73,1877.5
310,634880,82315,0.7710,7.97,0.0100,0.7970,0.0000,-0.042618,0.003335,1.5765,0.023246,76,1937.6
320,655360,84880,0.7818,7.98,0.0200,0.7980,0.0000,-0.034888,0.008398,1.5190,0.023282,81,1998.6
330,675840,87470,0.7663,7.92,0.0100,0.7920,0.0000,-0.042360,0.006928,1.7474,0.022969,85,2061.5
340,696320,90076,0.7591,7.95,0.0000,0.7950,0.0000,-0.043151,0.004841,1.6660,0.024800,86,2127.4
350,716800,92652,0.8083,8.05,0.0300,0.8050,0.0000,-0.028712,0.012625,1.6230,0.019197,87,2193.2
360,737280,95261,0.7407,7.75,0.0000,0.7750,0.0000,-0.041314,0.007258,1.7345,0.020436,89,2258.5
370,757760,97865,0.7635,7.78,0.0200,0.7780,0.0000,-0.033375,0.011791,1.6938,0.021030,90,2322.7
380,778240,100506,0.7715,7.76,0.0300,0.7760,0.0000,-0.035008,0.012854,1.8694,0.019778,91,2386.1
390,798720,103133,0.9344,8.12,0.1600,0.8120,0.0000,-0.033348,0.024220,1.6383,0.018683,91,2446.4
400,819200,105685,0.9880,8.27,0.2000,0.8270,0.0000,-0.027700,0.033617,1.2333,0.019561,94,2504.4
410,839680,108146,1.0396,8.18,0.2600,0.8180,0.0000,-0.022353,0.045832,0.9852,0.020956,97,2563.5
420,860160,110511,1.3523,8.87,0.5100,0.8870,0.0000,-0.032953,0.045657,0.7439,0.026165,99,2620.2
430,880640,112699,1.7178,9.59,0.8100,0.9590,0.0000,-0.020285,0.032777,0.2585,0.019067,100,2679.0
440,901120,114790,1.8387,9.82,0.9100,0.9820,0.0000,-0.015224,0.019641,0.2064,0.017040,101,2738.9
450,921600,116899,1.7423,9.64,0.8300,0.9640,0.0000,-0.018572,0.038715,0.3115,0.030000,102,2798.7
460,942080,119017,1.8023,9.75,0.8800,0.9750,0.0000,-0.020576,0.026235,0.3079,0.020768,103,2858.5
470,962560,121123,1.7887,9.71,0.8700,0.9710,0.0000,-0.016933,0.029164,0.3285,0.019048,103,2923.0
480,983040,123222,1.7678,9.70,0.8500,0.9700,0.0000,-0.019370,0.028246,0.3568,0.019454,103,2988.2
490,1003520,125320,1.7078,9.59,0.8000,0.9590,0.0000,-0.024650,0.041662,0.4400,0.020379,103,3052.6
500,1024000,127421,1.8487,9.82,0.9200,0.9820,0.0000,-0.017277,0.016007,0.3813,0.015614,103,3117.0
510,1044480,129529,1.8387,9.82,0.9100,0.9820,0.0000,-0.015313,0.016988,0.4177,0.017996,103,3181.0
520,1064960,131602,1.9205,9.95,0.9800,0.9950,0.0000,-0.013895,0.005263,0.4054,0.013398,104,3245.9
530,1085440,133689,1.8614,9.85,0.9300,0.9850,0.0000,-0.017347,0.016153,0.4817,0.013822,104,3310.8
540,1105920,135771,1.8832,9.87,0.9500,0.9870,0.0000,-0.019768,0.016194,0.4812,0.011559,104,3376.2
550,1126400,137873,1.7458,9.57,0.8400,0.9570,0.0000,-0.025357,0.033468,0.5154,0.017344,104,3441.6
560,1146880,139966,1.8868,9.91,0.9500,0.9910,0.0000,-0.017853,0.014640,0.4724,0.015295,104,3507.1
570,1167360,142065,1.8614,9.85,0.9300,0.9850,0.0000,-0.017388,0.014416,0.4455,0.012145,104,3572.0
580,1187840,144167,1.7968,9.69,0.8800,0.9690,0.0000,-0.024018,0.025868,0.5216,0.015737,104,3636.5
590,1208320,146245,1.8641,9.88,0.9300,0.9880,0.0000,-0.018377,0.014071,0.4790,0.014011,104,3701.2
600,1228800,148349,1.8105,9.73,0.8900,0.9730,0.0000,-0.022090,0.021810,0.5137,0.015289,105,3766.3
610,1249280,150428,1.8051,9.78,0.8800,0.9780,0.0000,-0.021796,0.027010,0.5281,0.015429,105,3831.3
620,1269760,152527,1.8723,9.86,0.9400,0.9860,0.0000,-0.020723,0.017555,0.4835,0.017389,105,3896.0
630,1290240,154605,1.9077,9.92,0.9700,0.9920,0.0000,-0.013863,0.008501,0.4258,0.015463,105,3960.4
640,1310720,156683,1.7878,9.70,0.8700,0.9700,0.0000,-0.018242,0.019529,0.5006,0.019812,105,4024.4
650,1331200,158791,1.7996,9.72,0.8800,0.9720,0.0000,-0.021898,0.021787,0.4969,0.016842,105,4086.9
660,1351680,160867,1.8605,9.84,0.9300,0.9840,0.0000,-0.017508,0.017613,0.5089,0.014170,105,4148.2
670,1372160,162964,1.7486,9.60,0.8400,0.9600,0.0000,-0.024802,0.025843,0.5465,0.020223,105,4211.6
680,1392640,165056,1.8187,9.82,0.8900,0.9820,0.0000,-0.017124,0.024128,0.4422,0.019565,105,4273.9
690,1413120,167134,1.8996,9.94,0.9600,0.9940,0.0000,-0.014016,0.012216,0.4242,0.016218,105,4336.6
700,1433600,169228,1.8968,9.91,0.9600,0.9910,0.0000,-0.013473,0.010761,0.4601,0.015666,105,4398.8
710,1454080,171326,1.8278,9.81,0.9000,0.9810,0.0000,-0.019869,0.017358,0.5028,0.018161,105,4461.8
720,1474560,173405,1.8577,9.81,0.9300,0.9810,0.0000,-0.019495,0.015631,0.5096,0.017868,105,4524.5
730,1495040,175492,1.9005,9.95,0.9600,0.9950,0.0000,-0.016042,0.008470,0.4517,0.011213,105,4587.7
740,1515520,177570,1.8941,9.88,0.9600,0.9880,0.0000,-0.013934,0.011752,0.4199,0.020323,105,4652.2
750,1536000,179676,1.6905,9.51,0.7900,0.9510,0.0000,-0.031478,0.039754,0.5373,0.025934,105,4716.7
760,1556480,181764,1.8987,9.93,0.9600,0.9930,0.0000,-0.010576,0.008157,0.4128,0.010393,105,4778.5
770,1576960,183841,1.8741,9.88,0.9400,0.9880,0.0000,-0.018887,0.009734,0.4453,0.017100,105,4842.3
780,1597440,185950,1.7396,9.61,0.8300,0.9610,0.0000,-0.021687,0.030755,0.4894,0.024495,105,4906.6
790,1617920,188060,1.8387,9.82,0.9100,0.9820,0.0000,-0.023954,0.022756,0.4721,0.016036,105,4970.4
800,1638400,190155,1.9332,9.98,0.9900,0.9980,0.0000,-0.015639,0.005980,0.4350,0.009970,105,5033.2
810,1658880,192243,1.8105,9.73,0.8900,0.9730,0.0000,-0.024096,0.017973,0.5236,0.017608,106,5097.1
820,1679360,194326,1.8959,9.90,0.9600,0.9900,0.0000,-0.019221,0.010094,0.4630,0.016852,106,5160.3
830,1699840,196403,1.8695,9.83,0.9400,0.9830,0.0000,-0.016457,0.008181,0.4823,0.016748,106,5223.1
840,1720320,198481,1.7787,9.71,0.8600,0.9710,0.0000,-0.025114,0.026342,0.5080,0.026246,106,5285.8
850,1740800,200564,1.8223,9.75,0.9000,0.9750,0.0000,-0.021526,0.021826,0.4941,0.016378,106,5347.7
860,1761280,202659,1.8841,9.88,0.9500,0.9880,0.0000,-0.016572,0.012463,0.4817,0.012693,106,5408.1
870,1781760,204757,1.8459,9.79,0.9200,0.9790,0.0000,-0.015860,0.016850,0.4591,0.015250,106,5468.1
880,1802240,206844,1.8841,9.88,0.9500,0.9880,0.0000,-0.018444,0.009952,0.4705,0.013972,106,5530.4
890,1822720,208931,1.7877,9.70,0.8700,0.9700,0.0000,-0.021369,0.017490,0.4822,0.014575,106,5594.0
900,1843200,211027,1.8713,9.85,0.9400,0.9850,0.0000,-0.021563,0.015163,0.4963,0.019424,106,5654.7
910,1863680,213116,1.8378,9.81,0.9100,0.9810,0.0000,-0.020821,0.016904,0.4707,0.018709,106,5716.3
920,1884160,215214,1.8723,9.86,0.9400,0.9860,0.0000,-0.022342,0.011768,0.5001,0.016416,106,5779.3
930,1904640,217302,1.8595,9.83,0.9300,0.9830,0.0000,-0.016588,0.012553,0.4367,0.014647,106,5841.1
940,1925120,219384,1.8559,9.79,0.9300,0.9790,0.0000,-0.016371,0.012417,0.4665,0.012504,106,5904.5
950,1945600,221465,1.9450,10.00,1.0000,1.0000,0.0000,-0.013132,0.008230,0.4692,0.010408,106,5966.4
960,1966080,223541,1.8959,9.90,0.9600,0.9900,0.0000,-0.018789,0.006584,0.4654,0.011878,106,6026.1
970,1986560,225643,1.8614,9.85,0.9300,0.9850,0.0000,-0.021434,0.014670,0.4892,0.016834,106,6087.3
